,PERS,LS,LS-l2,LS-l1,LAD,LAD-l1,FDRR-R,FDRR-AAR,FDRR-PWL,iteration,percentage
0,0.05322441758870925,0.05092263441815234,0.05083881191126599,0.050922090394568915,0.05001853208139043,0.050057273411164796,0.05005448798974646,0.05005448798974646,0.05070195963167947,0,0
0,0.05322441758870925,0.05092263441815234,0.05083881191126599,0.050922090394568915,0.05001853208139043,0.050057273411164796,0.05005448798974646,0.05005448798974646,0.05070195963167947,1,0
0,0.05322441758870925,0.05092263441815234,0.05083881191126599,0.050922090394568915,0.05001853208139043,0.050057273411164796,0.05005448798974646,0.05005448798974646,0.05070195963167947,2,0
0,0.05322441758870925,0.05092263441815234,0.05083881191126599,0.050922090394568915,0.05001853208139043,0.050057273411164796,0.05005448798974646,0.05005448798974646,0.05070195963167947,3,0
0,0.05322441758870925,0.05092263441815234,0.05083881191126599,0.050922090394568915,0.05001853208139043,0.050057273411164796,0.05005448798974646,0.05005448798974646,0.05070195963167947,4,0
0,0.0552802916443106,0.05236731991854485,0.05231558505029898,0.05236155968816362,0.05154304041021516,0.051597576580364145,0.05441675202396058,0.05332039627337023,0.05506411716809657,0,0.001
0,0.056370879758148175,0.05295538185617673,0.05292739730934426,0.05294855670445109,0.05221572286681464,0.05226112929827803,0.05641565927763496,0.05498073554619223,0.05687913280012305,1,0.001
0,0.05673242966122818,0.05322547169894917,0.05319873766748321,0.05321710529095721,0.05254686037128699,0.05260381297213081,0.05473035238400729,0.05366137047701118,0.0552405464726843,2,0.001
0,0.05766416718745228,0.05394770840699955,0.05389442411623313,0.05393586127797809,0.053289061916024304,0.05333501594487955,0.055607733203890286,0.054369859942355686,0.05612212238909897,3,0.001
0,0.05495661130728639,0.05242061406317371,0.05239696941249136,0.05241751642819052,0.051557734545874534,0.051617555899526296,0.055437216267520226,0.054186288372640536,0.05597891296616062,4,0.001
0,0.07062456384517575,0.06227821339233639,0.06240155199202766,0.06224108030007155,0.062140677131515644,0.06223247321835909,0.06624193043594576,0.0635071315364364,0.06650757359846789,0,0.005
0,0.064882347773159,0.05989894724352585,0.059963956466657545,0.05987589661730724,0.05959715696593778,0.05973302860341615,0.0677858458871972,0.06474569933845994,0.06789114898201704,1,0.005
0,0.06057981444692035,0.056635771223982806,0.05670295626532636,0.05662186288677116,0.05593300525169241,0.0560177504527204,0.06690924878209083,0.06376171104007013,0.06715022515404823,2,0.005
0,0.06169652746855918,0.05762922162535088,0.057719821463283486,0.057613402243217954,0.05697446621414296,0.05706059363525756,0.06712616311081093,0.064335351976294,0.06737785585076188,3,0.005
0,0.07392626766225507,0.06540819605732656,0.06550151851413101,0.06536829118056633,0.06574129696670256,0.06584567416239663,0.0674660124023818,0.06450622052377823,0.06768865042594446,4,0.005
0,0.07764020783483472,0.06946902743459718,0.06960952288973228,0.06942085744007338,0.06948786811540243,0.0696732677706017,0.07228267107690765,0.06962872910991505,0.07234663232029619,0,0.01
0,0.08592252308880496,0.07244012746926196,0.07285529726785372,0.07238629301239943,0.07311798256785589,0.0732127706949155,0.07225618938751811,0.06949858646983133,0.0723742877989124,1,0.01
0,0.07465814165932204,0.0668941643747864,0.06703789912256794,0.06685942737715501,0.06672974195068979,0.06690080986832295,0.07232914358263232,0.06969820561066983,0.07239206579517919,2,0.01
0,0.0713163093535879,0.0660062140994074,0.06616608764957008,0.06597239422039809,0.06566160218456682,0.06587383028700292,0.07266548865079231,0.0702341715744807,0.07272951868613789,3,0.01
0,0.07806848696560985,0.06979884214169779,0.07009583943647624,0.06975950505826231,0.0700967355159423,0.0702271040607063,0.07196601695673409,0.06941330002543177,0.07210028969524558,4,0.01
0,0.12281848885677799,0.10603439990609047,0.10658261868928881,0.10595576849530854,0.10749635136058808,0.10780012257600195,0.07947309858432874,0.07738613771428743,0.0794874807926435,0,0.05
0,0.11394320164156559,0.10070218745065797,0.10117468995546659,0.10064150683897122,0.10091886904912406,0.10108238073083917,0.07962401990689,0.07735848731085336,0.079632314216691,1,0.05
0,0.11520456908022836,0.10074133727886195,0.10120778834229395,0.10067407230824872,0.10121932461820041,0.10141177462770375,0.07816521265684873,0.07599643513113111,0.07812934782515063,2,0.05
0,0.11860013167867874,0.10263891219771358,0.1031849947190921,0.10257242589600653,0.10358910239314956,0.1038080821465161,0.07930348089787956,0.0771313604100063,0.07930719148393968,3,0.05
0,0.1273116044246502,0.10777799156305787,0.10839438052694579,0.10769111798186139,0.1094750574042021,0.10967759117696199,0.07876776506746887,0.07670447763900719,0.0787495810738633,4,0.05
0,0.13149737705037545,0.1156122928286747,0.11607205283622117,0.11552873878836895,0.11685853507415199,0.11711243217210887,0.08595490032959247,0.08098238544540991,0.08597262062771846,0,0.1
0,0.1458843006030676,0.1266509560711066,0.12726203264997973,0.12655983226214354,0.12835470526051249,0.1285208430616072,0.0854798497795213,0.08029081922280468,0.0856820888379612,1,0.1
0,0.14860138556716007,0.12664047109862697,0.1271327607680496,0.12653920210488684,0.12874837407746115,0.12887291036085796,0.08637567281067178,0.08071213394304554,0.08632462074535098,2,0.1
0,0.14001790719526205,0.12220324951008434,0.12269709255254665,0.12211858869610479,0.12395466990353315,0.12416693796777713,0.08610419300618552,0.0815363159292183,0.08614720969104235,3,0.1
0,0.14727496391639983,0.12644884880890686,0.1271770438911797,0.12636412624874385,0.12860094192424684,0.1287714736446025,0.08566518011758624,0.08032340224182107,0.08566592276434465,4,0.1
