,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-NN-5,iteration,percentage
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,0,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,1,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,2,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,3,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,4,0
0,0.03734965460186433,0.0283472700666516,0.02835004774673069,0.02835818132714566,0.028765290154965616,0.028412923981300423,,0.0337346669529478,,,0.026667764413910597,0.03929234407042839,0,0.001
0,0.03615425194116605,0.027102996743345674,0.027125378417265433,0.02711774875649739,0.027352179488306507,0.02702470096757229,,0.0331546861014833,,,0.02655933105471343,0.049676625332820905,1,0.001
0,0.04783576873251854,0.0388227245351834,0.03867651314817194,0.038780652498541776,0.040421531284399084,0.036187830054172594,,0.03409773318227787,,,0.02663200684901295,0.047527950411499126,2,0.001
0,0.037771699094698775,0.028633050178644877,0.028645515896357172,0.02863951190497275,0.029180996946694692,0.028604817565415615,,0.03352842478264116,,,0.02670515486252903,0.04092434874389713,3,0.001
0,0.03886592603768099,0.029584092713218994,0.029589025484690758,0.029579374920298065,0.03037926667171201,0.029655742939700965,,0.03413420492373334,,,0.026736490219426888,0.044834630922772865,4,0.001
0,0.04802823800307215,0.039585675045099245,0.039284005380714235,0.039512562537113875,0.04096189383918724,0.0376264084422375,,0.04226525123324146,,,0.028399458179398485,0.08771909194251296,0,0.005
0,0.04669960730294905,0.03802648017478892,0.03781188218571581,0.03796406870911902,0.039460040733753886,0.03685305794769341,,0.04188430900592843,,,0.029123463594633997,0.0939964872675548,1,0.005
0,0.0503919797061054,0.04128136089941345,0.04101069676067774,0.04120376281521071,0.04306987420686428,0.04003041082531117,,0.04229302367369056,,,0.028691813815954936,0.08572392313629036,2,0.005
0,0.04807306540246248,0.03904533196691977,0.03884162922938404,0.03898255293314818,0.04053635082580556,0.037964645077678036,,0.04025899153315515,,,0.028230809677648128,0.07704878456957881,3,0.005
0,0.060671196160683546,0.05068320195997028,0.05033488539191578,0.050574178265167316,0.05338102539279718,0.04866320084931557,,0.04214086308360902,,,0.028437098022285397,0.08337679457732013,4,0.005
0,0.07121073787157645,0.06085717868998378,0.06034232644054663,0.06069121384447562,0.06422818030721507,0.05742395571102917,,0.05041721759968559,,,0.031008457466441323,0.11644201968747026,0,0.01
0,0.06809829905473327,0.058469958197360866,0.057940029317017375,0.058318538033468134,0.061316944677615996,0.05646882513973191,,0.05197765760438254,,,0.03125275661264868,0.1189249231821249,1,0.01
0,0.060553842620373916,0.05102021388568031,0.05057917868381498,0.050892022835637325,0.053657458120830184,0.04899797442968163,,0.04920335738334946,,,0.030669041202677508,0.10906515961821323,2,0.01
0,0.07164454158968049,0.06142626313403451,0.06085482833559457,0.061263309131686386,0.06475157981096942,0.05825566688670931,,0.05250990825631317,,,0.0316323612002733,0.11770093831062407,3,0.01
0,0.064516586246197,0.05522299306555514,0.05471898971831038,0.055087098383795885,0.057916444365038684,0.05325406696012321,,0.053445007823783044,,,0.03145277081615191,0.11865625257319615,4,0.01
0,0.10325904106889394,0.0921100020564671,0.09115809950745869,0.0918239426494374,0.09689918422242642,0.08800220324256854,,0.08358609385571092,,,0.05445478206388809,0.1962242519232206,0,0.05
0,0.11421787710936605,0.10234600505980954,0.10134687679847433,0.10205224354503262,0.10755634830103195,0.09578373368863241,,0.08586310958984107,,,0.0538989322087337,0.196728042219535,1,0.05
0,0.10667137210250716,0.09529253511213351,0.09433902283743581,0.0950119189200997,0.1000568240148958,0.09018280622797671,,0.08538246013449408,,,0.05441766908875041,0.19547857535343038,2,0.05
0,0.10995728680054052,0.09774335182434057,0.09677060125146737,0.09745102196524277,0.10294543477287041,0.09332582445420126,,0.08395020162029355,,,0.05143943099350609,0.19495173384863465,3,0.05
0,0.11159163055659933,0.09930913565127121,0.0982364723247152,0.09900292481747142,0.1045860776945271,0.0940093140721157,,0.08392417364016584,,,0.050791423235635284,0.19336446884183006,4,0.05
