,Number missing,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-LR-1,FA-LEARN-LDR-LR-2,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-LR-20,FA-LEARN-LDR-NN-10,FA-LEARN-LDR-NN-1,FA-LEARN-LDR-NN-2,FA-LEARN-LDR-NN-5,FA-LEARN-LDR-NN-20,FA-LEARN-LR-10,FA-LEARN-LR-1,FA-LEARN-LR-2,FA-LEARN-LR-5,FA-LEARN-LR-20,FA-LEARN-NN-10,FA-LEARN-NN-1,FA-LEARN-NN-2,FA-LEARN-NN-5,FA-LEARN-NN-20,Count
0,0,0.1551314124940661,0.12121731478584526,0.12126240795368778,0.1214997653112018,0.12799473761503297,0.11686427702715697,0.12196088057965937,0.12196088057965937,0.11856241097211839,0.11866078695843317,0.12196088057965937,0.12196088057965937,0.12196088057965937,0.12196088057965937,0.12196088057965937,0.11854030256194281,0.11913122557647937,0.12053881851494407,0.11851990379979799,0.11840531191143329,0.12196088057965937,0.12196088057965937,0.12196088057965937,0.12196088057965937,0.12196088057965937,0.11805756799114996,0.1192282440910842,0.11875204985978886,0.11802320534596861,0.1180172039243097,20531
0,0,0.16049769545958945,0.11912993755877352,0.11894692799676868,0.11910951987679995,0.12544826512680252,0.11623372493619041,0.13754374224847352,0.12014959852730132,0.1212338514099959,0.11745218494281903,0.11895737821209769,0.12117612140208497,0.11884001557788222,0.11877270637491011,0.11783438733857204,0.1168480348017398,0.11796640388662259,0.11809341968805674,0.11563053796762304,0.11604657245680387,0.12379972095885919,0.12379972095885919,0.12379972095885919,0.12379972095885919,0.12379972095885919,0.11806005645298563,0.11706721711833169,0.11944939690046004,0.11870214663593241,0.11760628759974956,9171
1,1,0.17724087327013663,0.13237436119549065,0.1322166218697371,0.13220200376410923,0.14205741852405332,0.12851551742719766,0.15474159796782552,0.1349386183598549,0.13569109386942393,0.1301744178712524,0.13114036370796098,0.13342528040171428,0.13067855347806956,0.13039326552613684,0.12879334937281967,0.1276968446801014,0.12886205232247097,0.12924123659461292,0.12703785077046642,0.12741931830547,0.13890922836501718,0.13890922836501718,0.13890922836501718,0.13890922836501718,0.13890922836501718,0.13045214538677072,0.12945289287465495,0.13123615979148825,0.13036848611198354,0.13004628389623205,7818
2,2,0.18411855123860496,0.13458797946699072,0.1344601372454206,0.13444651951879763,0.14246617876153214,0.1291707431496544,0.1656546580096569,0.14132924295349567,0.14348784040861123,0.13619832458142425,0.13850419646056936,0.13582170080636788,0.13549638959451904,0.13567178842103575,0.13419345838273888,0.1332448137977587,0.1347750679796355,0.13465549363640214,0.1313778443499796,0.13463484965646502,0.15013339671426423,0.15013339671426423,0.15013339671426423,0.15013339671426423,0.15013339671426423,0.14103553978879976,0.13922021448872454,0.13930546000861083,0.13799789979159088,0.13993784618612948,2930
3,3,0.16137063850722885,0.12560536824950821,0.12523416779401345,0.12524375228399226,0.13237800099529498,0.1253223320295772,0.1615473321646757,0.1471671096714133,0.14646170945429524,0.1387028637571121,0.13790092672960957,0.13194353657947866,0.13466821273053814,0.13483252254366956,0.12839034430207544,0.13256060644629306,0.13187123519705218,0.13224560040490793,0.1322901738450339,0.13363909300126822,0.14589091205205293,0.14589091205205293,0.14589091205205293,0.14589091205205293,0.14589091205205293,0.13817538039087374,0.13720434067042703,0.13503899246822584,0.13493625445494184,0.13764413983701748,542
4,4,0.13067810339147143,0.10100448518819582,0.10161473377865665,0.10109932288647246,0.10559397733189227,0.0909211423808051,0.18914798479854408,0.12985558590977178,0.1411501322789516,0.1164412635166691,0.10635931218394633,0.1247382698963777,0.11149619346409272,0.10464102849753174,0.1001132751545941,0.099525080464799,0.10290649129401894,0.10456809502159455,0.10093922080770135,0.10902469126418697,0.12024976829139622,0.12024976829139622,0.12024976829139622,0.12024976829139622,0.12024976829139622,0.10756048009130235,0.10906494567039653,0.10823181509360229,0.10891366200153679,0.10732830449255194,63
5,5,0.3281814750032173,0.16079549244812255,0.1617930845694298,0.16012416363088774,0.20982717702532125,0.11969769277432797,0.1862294750907245,0.08783107646065708,0.11782728451415857,0.15836998223269128,0.16332529627246314,0.17242300039675434,0.1564426877606571,0.1727341757510918,0.1629245464660586,0.15498109235367588,0.14591052112797392,0.1587955166917313,0.15861261924187578,0.19518189797746033,0.17610468297285736,0.17610468297285736,0.17610468297285736,0.17610468297285736,0.17610468297285736,0.15431219043706532,0.14685137273241708,0.1517848303883485,0.15350494388503255,0.1584181229150409,6
6,6,0.04686091608623548,0.03910454285667932,0.04145836000745001,0.04580996564567013,0.012674490110817456,0.031096030381345036,0.11107084563078809,0.07319201937022138,0.042008851078175785,0.03843031486573148,0.06084743177595067,0.11635187676253247,0.07446545025410581,0.07446545025410581,0.06084743177595067,0.031749885883950474,0.05650027504267621,0.02643707616331506,0.029255364444875004,0.038594950345181706,0.09478065779509473,0.09478065779509473,0.09478065779509473,0.09478065779509473,0.09478065779509473,0.05458978226485181,0.0392590876490109,0.039318990317010166,0.03550158849062848,0.051726274547003986,1
0,0,0.16353806687236988,0.12594856692151116,0.12575641242017485,0.12579629594802877,0.13335704308203117,0.12169413116631679,0.14854555374090134,0.12836939065845435,0.13055734777680816,0.12681821844687233,0.12679602024668613,0.1286340813664019,0.12636122611588899,0.12588256348480092,0.12479535954424169,0.12485348105669322,0.12621133400925189,0.12616129030014933,0.12420679010208466,0.12350125893267618,0.13083429453858286,0.13083429453858286,0.13083429453858286,0.13083429453858286,0.13083429453858286,0.12633763025731728,0.12551968593577453,0.12771544236125207,0.12677353705116579,0.12568555199320475,10067
1,1,0.1696419777387444,0.12803845136955358,0.12786495860680536,0.12791361594087458,0.13537369235921262,0.12424430821848938,0.15714379684244767,0.13119607161124167,0.13238736103889648,0.12538706671211983,0.12662248538814314,0.13134934578885957,0.12663197174068963,0.12601768127756252,0.1254541597840912,0.1261050828756281,0.12685366538836626,0.12735265691295306,0.12449468398470537,0.12566500852536794,0.1332774209713697,0.1332774209713697,0.1332774209713697,0.1332774209713697,0.1332774209713697,0.12705714832507448,0.12577522095283153,0.1288182312220136,0.12862693061007138,0.12729976311793212,7545
