,Pers,LS,Lasso,Ridge,LAD,NN,FDRR-R,LinAdj-FDR,FinAd-LAD,FinAd-LS,iteration,percentage
0,0.12348542796649441,0.10097397992223218,0.10124885535907643,0.10137140647320043,0.10163202678261071,0.1031672132323291,0.10148983751276704,0.10098683577679345,0.10160947761787074,0.10099793953491894,0,0
0,0.12348542796649441,0.10097397992223218,0.10124885535907643,0.10137140647320043,0.10163202678261071,0.1031672132323291,0.10148983751276704,0.10098683577679345,0.10160947761787074,0.10099793953491894,1,0
0,0.12348542796649441,0.10097397992223218,0.10124885535907643,0.10137140647320043,0.10163202678261071,0.1031672132323291,0.10148983751276704,0.10098683577679345,0.10160947761787074,0.10099793953491894,2,0
0,0.12348542796649441,0.10097397992223218,0.10124885535907643,0.10137140647320043,0.10163202678261071,0.1031672132323291,0.10148983751276704,0.10098683577679345,0.10160947761787074,0.10099793953491894,3,0
0,0.12348542796649441,0.10097397992223218,0.10124885535907643,0.10137140647320043,0.10163202678261071,0.1031672132323291,0.10148983751276704,0.10098683577679345,0.10160947761787074,0.10099793953491894,4,0
0,0.12363672643071814,0.10113459574050275,0.10139472894218428,0.10147508045815677,0.10172688896892373,0.10325366355465576,0.10202131508314781,0.10116132351866079,0.10419846636414713,0.10117742647289535,0,0.001
0,0.12422626321221998,0.10135174742984046,0.10162731362978812,0.10169355394535978,0.1019678252340238,0.10349296484762341,0.10249768830494832,0.10106992196839511,0.10352156905330573,0.10108592911973942,1,0.001
0,0.12466660313496716,0.10118924296966701,0.10146872732369618,0.10152378399918931,0.10187060794979975,0.10329477253680568,0.10197602101881234,0.10112038592981497,0.10310622370259627,0.10103124892478156,2,0.001
0,0.12374444344575089,0.10102524151374555,0.10130942811220424,0.1014125935881635,0.10168011133621868,0.10320900421946735,0.10201066291436457,0.10102614897940373,0.10288610932282995,0.10096546074153065,3,0.001
0,0.12441937319943142,0.10118136582875073,0.10146152024707168,0.10154271782848294,0.10186652644226661,0.10331279717856758,0.10217429054231586,0.10103190118454668,0.10395686763749003,0.10105575883662274,4,0.001
0,0.12647696480259005,0.1020211256181529,0.10231242521752222,0.10231041430953247,0.10268558475883309,0.1041140684483749,0.10437089830376778,0.10138510172096364,0.1082231818963179,0.10130896553375335,0,0.005
0,0.12927529096153784,0.10250529482871415,0.10277565378525566,0.10259762666455527,0.10327620982596314,0.10414262260830946,0.10540130804808642,0.10119596936757148,0.10940623950721623,0.10136141410557145,1,0.005
0,0.12795203777778688,0.10231342702711449,0.10256800687943403,0.10250871124597533,0.10303803730928084,0.10424265283726127,0.10478212631971338,0.10140992061109433,0.10859501272233389,0.10124448313291956,2,0.005
0,0.1256322462504934,0.10176978603717733,0.10208550535236609,0.10217728527525376,0.10242047010701848,0.10404318342015555,0.10459191504625566,0.10150534161509625,0.10846539631428062,0.10145373202316081,3,0.005
0,0.12574484221262405,0.10192509031493903,0.10223971613516597,0.1023258838000848,0.10253609582859566,0.10395614728268972,0.10554633660283479,0.10153431023238736,0.10944889962083444,0.10144238523417408,4,0.005
0,0.1264705436656003,0.10260528424314233,0.10292169482949828,0.10292117751583256,0.10325790137036897,0.10479095107325723,0.10805659250974384,0.10207230381309712,0.11259449560784383,0.10192190447165597,0,0.01
0,0.13281238027099304,0.10402623360060172,0.10427223554254836,0.10395180932743055,0.10487844614849079,0.1049559642380793,0.10733719331375138,0.10187487391838268,0.11408708459010358,0.10167116185552588,1,0.01
0,0.1253370598605596,0.10200339251130638,0.10234459077882409,0.10243589203087627,0.10267039319201961,0.10409680135394568,0.10824293753279499,0.10220863786884671,0.11261911464410267,0.10186148405216391,2,0.01
0,0.12968057646615266,0.10243859452910922,0.10276639581911727,0.10272356349646879,0.10326437870709172,0.1043033913884165,0.1076569193444127,0.10172975315839976,0.1133778250237211,0.10159306979096297,3,0.01
0,0.1264352206077151,0.10238342884012505,0.10270226810195564,0.10275255596736634,0.10291284557165245,0.10453566704616163,0.10721505068278275,0.10172173147895434,0.11349490712509286,0.101797043973459,4,0.01
0,0.1427971963660082,0.10955542281694597,0.10996539775259935,0.10923791757395647,0.11024338665604702,0.11057692228189231,0.12046031155423287,0.10660718262898783,0.1235487884266963,0.10455384868475144,0,0.05
0,0.14699788513890868,0.11056690645246794,0.11095864390125855,0.11023621745097807,0.11135157689009575,0.11155765599388434,0.12012677433786295,0.10643031012336472,0.12369952152932039,0.10532958558784736,1,0.05
0,0.141670366558682,0.10949480925395702,0.10988705904120293,0.10924459668121028,0.11005432362364924,0.11023397985360464,0.11981607422347397,0.1057132282835262,0.12290157765362263,0.10465076733719501,2,0.05
0,0.1385388501056282,0.1085881752266119,0.10899435717512979,0.10852749199788635,0.10909356221286778,0.10989153358662342,0.11879032292731723,0.10556532379391756,0.123835372861002,0.10452664617585518,3,0.05
0,0.14440432801036118,0.11029391591963378,0.11070669740649813,0.10993553855429478,0.11136651030765615,0.11108462868378141,0.12040495035791474,0.10791762826149257,0.12359135711350418,0.105636231153395,4,0.05
0,0.15128946495416337,0.11502456499219829,0.11548093150940719,0.1146762418778562,0.11536376216443583,0.11539507357570221,0.12346293791193451,0.11249328249433445,0.12498147271950785,0.10790361535996076,0,0.1
0,0.1564784228690291,0.11644512333112143,0.11686018517069335,0.1158101524019296,0.11719757949098882,0.11568931860163462,0.12349776468475215,0.11317048986063243,0.12597308511886623,0.10843659086105442,1,0.1
0,0.15850222111290724,0.11754697177478886,0.11788961894532489,0.11658238462125034,0.11837233486089543,0.1181538589504891,0.12540901284759826,0.11462415716956376,0.12546067132402158,0.10855579989402207,2,0.1
