,Pers,LS,Lasso,Ridge,LAD,NN,FDRR-R,LinAdj-FDR,FinAd-LAD,FinAd-LS,iteration,percentage
0,0.1150132907415286,0.10319141128514496,0.1034443826178204,0.10378814967891403,0.10034163038584704,0.10337260501125684,0.10383565194824472,0.10352787890842195,0.10038111299809845,0.10038111299809845,0,0
0,0.1150132907415286,0.10319141128514496,0.1034443826178204,0.10378814967891403,0.10034163038584704,0.10337260501125684,0.10383565194824472,0.10352787890842195,0.10038111299809845,0.10038111299809845,1,0
0,0.11530221792437399,0.10319090109750349,0.10345037196204206,0.10379752006452904,0.10036453205726843,0.10345246389718364,0.10405662193547753,0.10938260120501533,0.10266933053471122,0.10266933053471122,0,0.001
0,0.11508452006013843,0.10330028719066639,0.10356324135840095,0.10391119125542528,0.10043266271751487,0.10346440475051474,0.10435416256188992,0.11379302661595271,0.10315536365434706,0.10315536365434706,1,0.001
0,0.11574189985472366,0.1034246087336135,0.10373040476545849,0.1041510044730937,0.10062810962182797,0.10398182475146908,0.10511201909303974,0.13187244252173105,0.10996449694644451,0.10996449694644451,0,0.005
0,0.11647306546659124,0.10351689217690568,0.10380384713222708,0.10417239900787527,0.10071399917178062,0.10405146005524428,0.10559277461608814,0.13251556055090244,0.11131092128784857,0.11131092128784857,1,0.005
0,0.11679508305020014,0.10430953706067209,0.10457938057156119,0.10490576979583247,0.10118784105798945,0.10440149953180204,0.10736504176917928,0.1465891834616983,0.11730089659175846,0.11730089659175846,0,0.01
0,0.11647607782782991,0.10418736826439522,0.10448629237268132,0.10483901991214502,0.1011890584652108,0.10425098938273956,0.1073473974277259,0.15197053933941712,0.1176229599134058,0.1176229599134058,1,0.01
0,0.12418154252462638,0.10785917504379612,0.10810702770095619,0.1082747829936518,0.10449177620060034,0.10876446248017008,0.11439556176386043,0.2188184752552603,0.13135044364821247,0.13135044364821247,0,0.05
0,0.12452365517574646,0.10854221180242124,0.10882569445540713,0.10903728281559506,0.10546734084072144,0.10962215043065766,0.11422893164908404,0.21607611974386537,0.1308662669294252,0.1308662669294252,1,0.05
0,0.1306229698393621,0.11192851854120257,0.11226634456020045,0.11257181734875388,0.1087678252475746,0.11315268254736367,0.11599612427857355,0.22830439181301684,0.13222709701451849,0.13222709701451849,0,0.1
0,0.13045908013020688,0.1124450701691304,0.11269685908288363,0.11300161620140042,0.10900602639129016,0.11274680141661818,0.11570462944292254,0.2307475269757643,0.13157408756248973,0.13157408756248973,1,0.1
