,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage
0,0.16251987931440798,0.13920996108577724,0.13917011330039927,0.13918418661291404,0.14733337410284608,0.14499871713811785,,0.14020426544582004,0.13961253830281617,0.14030547388134493,0.14246215264466652,0.14506074147265052,0.1449985574402494,0.14526777773037294,,0.13961670840288926,0.13959474744583816,0.13957773476971436,0.1395765394561225,0.13937278232677716,0,0
0,0.16251987931440798,0.13920996108577724,0.13917011330039927,0.13918418661291404,0.14733337410284608,0.14499871713811785,,0.14020426544582004,0.13961253830281617,0.14030547388134493,0.14246215264466652,0.14506074147265052,0.1449985574402494,0.14526777773037294,,0.13961670840288926,0.13959474744583816,0.13957773476971436,0.1395765394561225,0.13937278232677716,1,0
0,0.16251987931440798,0.13920996108577724,0.13917011330039927,0.13918418661291404,0.14733337410284608,0.14499871713811785,,0.14020426544582004,0.13961253830281617,0.14030547388134493,0.14246215264466652,0.14506074147265052,0.1449985574402494,0.14526777773037294,,0.13961670840288926,0.13959474744583816,0.13957773476971436,0.1395765394561225,0.13937278232677716,2,0
0,0.16251987931440798,0.13920996108577724,0.13917011330039927,0.13918418661291404,0.14733337410284608,0.14499871713811785,,0.14020426544582004,0.13961253830281617,0.14030547388134493,0.14246215264466652,0.14506074147265052,0.1449985574402494,0.14526777773037294,,0.13961670840288926,0.13959474744583816,0.13957773476971436,0.1395765394561225,0.13937278232677716,3,0
0,0.16251987931440798,0.13920996108577724,0.13917011330039927,0.13918418661291404,0.14733337410284608,0.14499871713811785,,0.14020426544582004,0.13961253830281617,0.14030547388134493,0.14246215264466652,0.14506074147265052,0.1449985574402494,0.14526777773037294,,0.13961670840288926,0.13959474744583816,0.13957773476971436,0.1395765394561225,0.13937278232677716,4,0
0,0.16531053623985487,0.1413056164542291,0.14125826191231594,0.14127592065387098,0.1500545710904155,0.14632072928838294,,0.14464482240542037,0.14086097965449154,0.14221122755687732,0.1443195282483425,0.14599899598965543,0.1461296048757063,0.14638658247436123,,0.1412396055336606,0.1402244861161993,0.1402802759137353,0.1402790865864741,0.14007635139628738,0,0.001
0,0.1654219803904089,0.14054375323314047,0.14049713560104143,0.14051474748505058,0.14962622743817522,0.1454137450381855,,0.14471724761615046,0.14084974504649553,0.14203315530312002,0.14448891602637715,0.14604286090944432,0.14663413865394948,0.14631408117534286,,0.14110244307164782,0.14032220308982146,0.14021065354796663,0.14020928986007855,0.1400064536013544,1,0.001
0,0.16335606737776845,0.13998153644211636,0.13993596841605987,0.1399536264136321,0.1481384791039028,0.1454350515671355,,0.14451851366189689,0.14068892197865993,0.14210601847633894,0.14357723771009517,0.1450494322962064,0.1469206926517653,0.1456737453429894,,0.1409796260270199,0.14008172359640964,0.1400678419807428,0.14006807132197052,0.1398650302642419,2,0.001
0,0.16401531358127996,0.14036670395297746,0.1403119517943684,0.14033433180771201,0.1486795109566372,0.14620655355662993,,0.1437071899493651,0.14033199983113975,0.14176202452186454,0.14423095522099108,0.14572441650415244,0.145840650711931,0.14582610063074536,,0.14063347888835986,0.13974764578503454,0.13963490793547825,0.13963371311130876,0.13943003953313635,3,0.001
0,0.1627426675736048,0.13962944654652146,0.13957163271486447,0.1395964078217163,0.14756529327376283,0.14572422091342435,,0.14439237277626277,0.14050246250634615,0.1422176461827991,0.14440127218167598,0.14546261926433807,0.14683823253550723,0.14597536266814637,,0.1407680520423762,0.14022077832464663,0.13998732674549505,0.13998613492932716,0.1397829748553538,4,0.001
