,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage,v3FA-lin-fixed-NN
0,0.0941083639883439,0.0822356200053677,0.0823156087897001,0.0826681572114806,0.077515939510104,0.074521301340017,,0.0817361413810214,0.0822356157066384,0.0817361397927741,0.0753586166089646,0.0741320286892615,0.0745213010183113,0.0763629027059052,0.0741222287761939,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,0,0.0,0.07407478657768171
0,0.0941083639883439,0.0822356200053677,0.0823156087897001,0.0826681572114806,0.077515939510104,0.074521301340017,,0.0817361413810214,0.0822356157066384,0.0817361397927741,0.0753586166089646,0.0741320286892615,0.0745213010183113,0.0763629027059052,0.0741222287761939,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,1,0.0,0.07407478657768171
0,0.0941083639883439,0.0822356200053677,0.0823156087897001,0.0826681572114806,0.077515939510104,0.074521301340017,,0.0817361413810214,0.0822356157066384,0.0817361397927741,0.0753586166089646,0.0741320286892615,0.0745213010183113,0.0763629027059052,0.0741222287761939,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,2,0.0,0.07407478657768171
0,0.0941083639883439,0.0822356200053677,0.0823156087897001,0.0826681572114806,0.077515939510104,0.074521301340017,,0.0817361413810214,0.0822356157066384,0.0817361397927741,0.0753586166089646,0.0741320286892615,0.0745213010183113,0.0763629027059052,0.0741222287761939,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,3,0.0,0.07407478657768171
0,0.0941083639883439,0.0822356200053677,0.0823156087897001,0.0826681572114806,0.077515939510104,0.074521301340017,,0.0817361413810214,0.0822356157066384,0.0817361397927741,0.0753586166089646,0.0741320286892615,0.0745213010183113,0.0763629027059052,0.0741222287761939,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,0.0822356200053677,4,0.0,0.07407478657768171
0,0.0944684268445337,0.0825585167129772,0.0826162654242793,0.0829544345155271,0.0777862690560723,0.0751280439949607,,0.0850426834477198,0.0826902877784936,0.0846030368325629,0.0771095469004319,0.0755638683833102,0.0753030742578516,0.0766597350247252,0.0758719004001668,0.0843825042396391,0.0828631992650026,0.082643334952232,0.082643334952232,0.0823999709253337,0,0.001,0.07473990574165505
0,0.09467213874148,0.0825186880822134,0.0825654690914017,0.0829152771760218,0.0778303916222133,0.0749791749598304,,0.0851564714025239,0.0828790059036949,0.0843127358095195,0.0768634345874496,0.0757835087004139,0.0758805599972047,0.0771342344043864,0.076003103225293,0.0853012560394843,0.083268647341174,0.0830006403007353,0.0830006403007353,0.0824582872945462,1,0.001,0.07480374267524019
0,0.0944732820112499,0.0825623609500797,0.0826208902367763,0.0829559226497051,0.0778179320262654,0.0748931907801688,,0.0846659889476475,0.0828556841043355,0.084507098943013,0.076855969749265,0.0757564189791374,0.0757631502651803,0.0769414164710527,0.0758338489759035,0.0839458192117387,0.0829322028747143,0.0826772849242086,0.0826772849242086,0.0824943259448075,2,0.001,0.07529294910172826
0,0.0943421613000498,0.0824121063500774,0.082469242757915,0.0828029285981659,0.0776904710500127,0.0747094884754493,,0.0837833289334261,0.0828830829352579,0.0840699001013549,0.0764376518738543,0.0756266803353634,0.0755053560901019,0.0767489895115035,0.0750378150926428,0.0842422039609241,0.0829833924324253,0.0827503726759996,0.0827503726759996,0.0823711977767669,3,0.001,0.07531980564732887
0,0.0942245516452183,0.0826689063718143,0.0827065592871687,0.0830363375035885,0.0777696170702637,0.0747723212185997,,0.0846267467466331,0.0828596060183278,0.0845221939938089,0.0772390471962102,0.0755683864307079,0.0754849623499475,0.0767488708903554,0.0755752406747773,0.0850156920709073,0.0833556152515464,0.0831605695369803,0.0831605695369803,0.0826783211887399,4,0.001,0.07504803103339455
