,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage,steps
0,0.0351980900380777,0.02604224738706,0.0261492063922131,0.0265961475124736,0.0261819311437471,0.0285639690698039,,0.0264175002269496,0.0265910241754588,0.0264001773261878,0.0288226456182521,0.0302322963177551,0.028580814963699,0.0290861260786956,,0.0266124819593657,0.0265914667934811,0.0265917215806908,0.0265934678044936,0.0264495430837629,0,0.0,1
0,0.0351980900380777,0.02604224738706,0.0261492063922131,0.0265961475124736,0.0261819311437471,0.0285639690698039,,0.0264175002269496,0.0265910241754588,0.0264001773261878,0.0288226456182521,0.0302322963177551,0.028580814963699,0.0290861260786956,,0.0266124819593657,0.0265914667934811,0.0265917215806908,0.0265934678044936,0.0264495430837629,1,0.0,1
0,0.0351980900380777,0.02604224738706,0.0261492063922131,0.0265961475124736,0.0261819311437471,0.0285639690698039,,0.0264175002269496,0.0265910241754588,0.0264001773261878,0.0288226456182521,0.0302322963177551,0.028580814963699,0.0290861260786956,,0.0266124819593657,0.0265914667934811,0.0265917215806908,0.0265934678044936,0.0264495430837629,2,0.0,1
0,0.0351980900380777,0.02604224738706,0.0261492063922131,0.0265961475124736,0.0261819311437471,0.0285639690698039,,0.0264175002269496,0.0265910241754588,0.0264001773261878,0.0288226456182521,0.0302322963177551,0.028580814963699,0.0290861260786956,,0.0266124819593657,0.0265914667934811,0.0265917215806908,0.0265934678044936,0.0264495430837629,3,0.0,1
0,0.0351980900380777,0.02604224738706,0.0261492063922131,0.0265961475124736,0.0261819311437471,0.0285639690698039,,0.0264175002269496,0.0265910241754588,0.0264001773261878,0.0288226456182521,0.0302322963177551,0.028580814963699,0.0290861260786956,,0.0266124819593657,0.0265914667934811,0.0265917215806908,0.0265934678044936,0.0264495430837629,4,0.0,1
0,0.0369334708085649,0.0280984652572388,0.0281500846638148,0.028502687042521,0.0284316437036071,0.0302944586914995,,0.0414201323858852,0.0303600590670573,0.0285046240973329,0.037808715882963,0.0339239390491377,0.0304904446971826,0.0301021555703499,,0.0449676255449176,0.032611774558873,0.0270828351573476,0.0270845497175737,0.0269432483727355,0,0.001,1
0,0.0365765691660229,0.0278993125255726,0.0279257001082896,0.0283325971895433,0.0281366953944461,0.0300275300065023,,0.0412196128567427,0.0299701486049222,0.0275955204285048,0.0373983514362175,0.0327669299845505,0.0294890586585586,0.0300386870868581,,0.0454634473091352,0.0338049950461974,0.0294981248410727,0.0269018318761381,0.026759565724488,1,0.001,1
0,0.043336433756453,0.0343450450126886,0.0342624519579722,0.0344208050796247,0.0353908616987227,0.0357716026520833,,0.0466102001602144,0.0299868303280856,0.0285622679199543,0.0396957734710595,0.0351035934227534,0.0302806228730605,0.03013330843523,,0.0447715894597918,0.0316825626033978,0.0270983310574703,0.0271000446373049,0.0269588245072947,2,0.001,1
0,0.0379887965071063,0.02913591899211,0.0291591307417216,0.0294784252340797,0.0296163301671036,0.0311634571875843,,0.043184709456611,0.0301941580106528,0.0279153045159005,0.0385612560143726,0.0337873212458074,0.0299657519357987,0.0300700586224203,,0.0453067374736195,0.0305394629334133,0.0270227731446436,0.0270244915154852,0.0268828744955171,3,0.001,1
0,0.0355468862728482,0.0267328840135089,0.0267835626225248,0.0272421012934191,0.0267611739265279,0.0292007318846894,,0.0425058217543945,0.0297463629650191,0.0274058264833463,0.0372002801489856,0.0333970260433559,0.0294219318438549,0.0298080557507497,,0.0427784786673521,0.0296135524075098,0.026822903304147,0.02682463447854,0.0266819567194475,4,0.001,1
