,Pers,LS,Lasso,Ridge,LAD,NN,FDRR-R,LinAdj-FDR,FinAd-LAD,FinAd-LS,iteration,percentage
0,0.0832113931747877,0.07453179712813345,0.074836036635291,0.07455098979756848,0.07215967019822436,0.07256353824117855,0.07485126018727087,0.0742299297773749,0.07217319915770215,0.07458329254959475,0,0
0,0.0832113931747877,0.07453179712813345,0.074836036635291,0.07455098979756848,0.07215967019822436,0.07256353824117855,0.07485126018727087,0.0742299297773749,0.07217319915770215,0.07458329254959475,1,0
0,0.0832113931747877,0.07453179712813345,0.074836036635291,0.07455098979756848,0.07215967019822436,0.07256353824117855,0.07485126018727087,0.0742299297773749,0.07217319915770215,0.07458329254959475,2,0
0,0.0832113931747877,0.07453179712813345,0.074836036635291,0.07455098979756848,0.07215967019822436,0.07256353824117855,0.07485126018727087,0.0742299297773749,0.07217319915770215,0.07458329254959475,3,0
0,0.0832113931747877,0.07453179712813345,0.074836036635291,0.07455098979756848,0.07215967019822436,0.07256353824117855,0.07485126018727087,0.0742299297773749,0.07217319915770215,0.07458329254959475,4,0
0,0.08339030023605458,0.07479524271746549,0.07509425805739581,0.07481401336616383,0.0724456386849109,0.07282231869547548,0.07635206877534871,0.07432280045640073,0.07315807968443355,0.07468012297635036,0,0.001
0,0.08334936500760183,0.0746834080524748,0.07498936274216741,0.07470177439516516,0.07231867381914674,0.07271984331858432,0.0758018964870992,0.07422186635855217,0.07299504360763737,0.0746063882568267,1,0.001
0,0.08335868873553537,0.07469544670486392,0.07499809353484607,0.07471565040780316,0.0723248584796676,0.07272765434367512,0.07575306457201414,0.07427619464052163,0.07313236647765964,0.07463662185450383,2,0.001
0,0.08382183797453954,0.07494306676476852,0.07525646347197038,0.07496023530731867,0.07260625807944172,0.0730528696333152,0.07611715760887908,0.07439235445757614,0.07325640958497434,0.07476287650348197,3,0.001
0,0.08321504939233704,0.07461922093699593,0.07492814288250965,0.0746449111456229,0.07224174894805925,0.07264830354851032,0.07589477375105469,0.07440623304705933,0.07322290766982492,0.07459317308764582,4,0.001
0,0.08474967381702507,0.07561735006742709,0.07597280074154313,0.07562549874060294,0.07325840183400088,0.07381597630570157,0.07993818743495872,0.07478902711025033,0.07583309644444192,0.07499664280463839,0,0.005
