,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage
0,0.12663397007298793,0.11079694273548603,0.11063304588900699,0.1101749576931995,0.11877037041463713,0.10358601201658935,,0.14351886794632088,0.10885011162616963,0.12322264485016741,0.12098520506429773,0.11036505077711038,0.10421861339148975,0.11100144137341718,,0.15572440782726177,0.10215585905792145,0.10517435729156437,0.10398698191334727,0.10388951637300593,0,0
0,0.12222718143312224,0.10761891897723584,0.10745424662914231,0.10698858395959908,0.1151112822756465,0.10134524838524056,,0.14470057234261638,0.10791621196069039,0.1235836314934473,0.11871178074109714,0.10806860585780174,0.10297863832402186,0.10954397565484243,,0.15463788208497176,0.09968192545514874,0.10489893639065781,0.10349402463399922,0.10336039534036294,1,0
0,0.12769930316973374,0.1108516152336104,0.11068978374791591,0.11019756901793619,0.11955051132639821,0.10368072485469616,,0.1423217326436872,0.10685819558582517,0.12354345427472158,0.11836292027575673,0.10806376699349138,0.10257683250204024,0.11002386127177502,,0.15218212668406692,0.10141674364606162,0.1047579077693092,0.10316646119152942,0.10306856391497919,2,0
0,0.12188845037933847,0.10719904627499549,0.10701825072676277,0.10650635999009536,0.11436833503282445,0.10084544356740174,,0.14084114903597236,0.10732462473692583,0.1230013295263201,0.11631968265758613,0.10851546577739503,0.10270906607866086,0.11109636244182503,,0.15093487361901384,0.10112656460203825,0.10511857068086956,0.10364645065002562,0.10357365649538039,3,0
0,0.12453978752339513,0.1087801938133822,0.10858767674912359,0.10804039167772383,0.11673284575532118,0.10407872839004971,,0.14206300754663975,0.10590016029584932,0.12263533859819535,0.11607685780205149,0.10607418625114161,0.10309581984236427,0.10943648615520851,,0.15308567268356915,0.10103531558923111,0.10322922733168972,0.10236263851538938,0.10225116369123068,4,0
