,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,FA-lin-greedy-LS-10,iteration,percentage
0,0.035438379435763986,0.03456654462785723,0.034422137784488605,0.0345751559012515,0.03179030464380808,0.036793168709309695,,0.0343993345103753,0.03445057138048351,0.03440980377643098,0.036452598213454576,0.035813058447047706,0.0367863966790023,0.03548207919731947,0.03459238925684303,0,0
0,0.035438379435763986,0.03456654462785723,0.034422137784488605,0.0345751559012515,0.03179030464380808,0.036793168709309695,,0.0343993345103753,0.03445057138048351,0.03440980377643098,0.036452598213454576,0.035813058447047706,0.0367863966790023,0.03548207919731947,0.03459238925684303,1,0
0,0.035438379435763986,0.03456654462785723,0.034422137784488605,0.0345751559012515,0.03179030464380808,0.036793168709309695,,0.0343993345103753,0.03445057138048351,0.03440980377643098,0.036452598213454576,0.035813058447047706,0.0367863966790023,0.03548207919731947,0.03459238925684303,2,0
0,0.035438379435763986,0.03456654462785723,0.034422137784488605,0.0345751559012515,0.03179030464380808,0.036793168709309695,,0.0343993345103753,0.03445057138048351,0.03440980377643098,0.036452598213454576,0.035813058447047706,0.0367863966790023,0.03548207919731947,0.03459238925684303,3,0
0,0.035438379435763986,0.03456654462785723,0.034422137784488605,0.0345751559012515,0.03179030464380808,0.036793168709309695,,0.0343993345103753,0.03445057138048351,0.03440980377643098,0.036452598213454576,0.035813058447047706,0.0367863966790023,0.03548207919731947,0.03459238925684303,4,0
0,0.035942773966703506,0.03502232027112559,0.03487331418297634,0.03501249787917688,0.032281218521324456,0.037155321013606794,,0.037440789206238945,0.03532938971008198,0.0348289959090414,0.03802997601586849,0.036750741793789274,0.03707895327500528,0.03613422744217078,0.03494853283057361,0,0.001
0,0.035604104469156135,0.03475188966918404,0.03460758415618221,0.03475302483331537,0.03197122010313751,0.03694957253343305,,0.03632160339056547,0.03489222201458789,0.0344983934150329,0.03761241447861333,0.03622742895604101,0.03696839811593546,0.03574273257265203,0.03466388510213682,1,0.001
0,0.03547461563795533,0.03462531520992307,0.03447819322480146,0.03462617691975766,0.03183031179126906,0.03685002053996567,,0.036515995561116926,0.034756810839303105,0.034594985168576085,0.037535845975095974,0.036227131890937035,0.036928973339694894,0.03563680134091132,0.03473770576507492,2,0.001
0,0.03620711440569203,0.03529545340515105,0.035151769139636434,0.035292936559424525,0.032593126741577015,0.03735892650867813,,0.03802754800496499,0.03546441229321261,0.0347200890165324,0.038344824150527826,0.036800308539365514,0.037001324501798515,0.036148413431358814,0.03490832663903413,3,0.001
0,0.03581761656154261,0.03492909261180223,0.034784931699142776,0.034925023309110216,0.0321915300350602,0.03712458240476545,,0.03772112915795643,0.03539280660355347,0.03479033994150406,0.03845584268732862,0.036793573143089994,0.03702328925188318,0.03597432364458051,0.03495199362971478,4,0.001
0,0.03688018510048001,0.03601591484341699,0.03586340392474273,0.035996586969007406,0.03328874436066777,0.03791898529753632,,0.04934155508634152,0.03898063058967987,0.03675299165091995,0.04474733064656051,0.04048722565266006,0.03803642407213492,0.0383632841234527,0.03668649948495766,0,0.005
0,0.036748517042879264,0.03590965542800087,0.03575532457759877,0.0358490965913518,0.03323647910822716,0.03773748674865655,,0.0486595368726707,0.03930809202231969,0.03652053347770416,0.04406722490773678,0.04050186913443163,0.03734406412918373,0.03789540473744416,0.03626949626318999,1,0.005
0,0.036863442874226486,0.03593096773885889,0.0357783021925236,0.03588551686700085,0.03333716200530018,0.03785151243946558,,0.04800959152363202,0.0385301202680966,0.03674926232026372,0.04361204933413729,0.03958331320699169,0.03763270186451116,0.03788348722517901,0.03632612558959078,2,0.005
0,0.03848958077126551,0.037540201172351705,0.037388930058500275,0.03745958934749777,0.03508285811290223,0.0392791388741981,,0.04698361311401981,0.03900294498884949,0.03672029814198147,0.04372151925906883,0.04027822539783477,0.03809953725777733,0.03783798880571632,0.03661644314190589,3,0.005
0,0.03767770165794314,0.03691639915548077,0.03675483994072866,0.03683200196518448,0.034275662303710895,0.03866374995380523,,0.04907356252232643,0.039169139652535045,0.03661339729269769,0.04468867307548261,0.04052906589060347,0.03789781449951876,0.038483806148185494,0.03654259191784856,4,0.005
0,0.04044745693750671,0.03967087585071127,0.03950534953070583,0.03952038671253525,0.037328846178291505,0.04083543737594323,,0.06003427540113231,0.04295285668055804,0.03876281529760684,0.04901738455875889,0.04363160555663164,0.038335095295266054,0.04045749299243513,0.038332085047197234,0,0.01
0,0.03933310871652683,0.03850603905365147,0.03833029361706897,0.03836201238994958,0.035978734193098556,0.040064224016880916,,0.05846240933737777,0.04225502507784913,0.03818875713922921,0.048106881115507476,0.043170764808284634,0.03811996761396877,0.039791202129168694,0.03778099343705445,1,0.01
0,0.040415979257274255,0.039434117387807485,0.039272125584660984,0.03932221643146767,0.03701111283406812,0.04073645472693472,,0.057416621050995105,0.041472100659528305,0.03882863919401984,0.04905268248495981,0.04322439416608386,0.03856851312580403,0.04082874799887916,0.03826173284622894,2,0.01
0,0.03975644000855947,0.03881267938815621,0.038643785852326945,0.03867680863829973,0.036448184573264875,0.04007537255834955,,0.05858644195173471,0.041531258096492975,0.03825052528634769,0.047962980995948166,0.04267306363696795,0.03794521317862372,0.04008857710143556,0.037471277307327626,3,0.01
0,0.04086230334385687,0.03993911383571785,0.039783396333658155,0.03983050672341141,0.037574874392576396,0.04132066553342955,,0.05926477233524849,0.0430385701953101,0.0399578183944941,0.049808579505525356,0.04451231914693873,0.03916024825314464,0.04205756263105988,0.03924397402712748,4,0.01
0,0.05451934706874465,0.05389868336504356,0.05364566156545883,0.05329493575280917,0.05244060766449706,0.05284389611650468,,0.10669842359046927,0.062471542895418515,0.052648242233106,0.06598578307132748,0.06429152049636462,0.044467025944632525,0.05889297706303518,0.04842968266009033,0,0.05
