,Pers,LS,Lasso,Ridge,LAD,NN,FDRR-R,FinAd-LAD,FinAd-LS,iteration,percentage
0,0.1092256360893717,0.10443487492123492,0.10444449242295996,0.10512378201827263,0.09855118633974604,0.10322478897107185,0.10529851583323217,0.09856677312716153,0.09856370964093787,0,0
0,0.1092256360893717,0.10443487492123492,0.10444449242295996,0.10512378201827263,0.09855118633974604,0.10322478897107185,0.10529851583323217,0.09856677312716153,0.09856370964093787,1,0
0,0.10996458017934363,0.10524719380623061,0.10525565575306026,0.10589930294449597,0.09902233950936964,0.10412440347905332,0.10706873837577363,0.10021886307817116,0.10066199676520517,0,0.001
0,0.1106784525630424,0.10538073871273344,0.10539242579849914,0.1060202678336348,0.09943110617823722,0.10436917850361659,0.10712797104617464,0.10025204011442682,0.10144230618609754,1,0.001
0,0.11509600902114292,0.1097163467572571,0.10972255450043893,0.11007597335156108,0.1034259215896984,0.10975367248795678,0.11068865889736065,0.10377123464242588,0.10794912251648155,0,0.005
0,0.1201724370017079,0.10960668251659651,0.1096186122669291,0.10984754788480765,0.10339655421512052,0.10856992225474757,0.11008572544993682,0.1024536504773182,0.10620115349554418,1,0.005
0,0.12315125563833727,0.11245264553777383,0.1124589546549596,0.11273304743786029,0.10553583663307387,0.11332191285692844,0.11250367597974699,0.10486591915329224,0.10951798794182042,0,0.01
0,0.12340441884391931,0.11261524438732073,0.11263952769213845,0.1129518925004306,0.106037741802861,0.11429999682402787,0.11212595377206626,0.10441935354005497,0.11007573056183126,1,0.01
0,0.15835761356217157,0.13242375312523444,0.13245134053611937,0.1324737077378785,0.12690431672334324,0.136898349965317,0.11701566255824739,0.10708683838512818,0.11267027248770144,0,0.05
0,0.1523737234240729,0.13225443137938203,0.13228041851446254,0.13226282980223364,0.12642635360031912,0.1370114163495357,0.11666028760616555,0.10663735793908835,0.11325699398790451,1,0.05
0,0.17124671894523855,0.14716504674831554,0.14720302150487807,0.14716344100932607,0.1411679093494495,0.15468625027962177,0.12603510283712435,0.1122566830954491,0.11744961737781322,0,0.1
0,0.17040270052976972,0.14468647520190472,0.14469463515208597,0.14401618161887095,0.13897063316898217,0.14678606644526068,0.12426370993441738,0.11097166680792606,0.11661719785832471,1,0.1
