,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-NN-10,FA-LEARN-LR-10,FA-LEARN-NN-10,iteration,percentage
0,0.20527527287356936,0.15104737116565667,0.15114830067712645,0.15128098115289096,0.14162432828339153,0.11255376192775071,0.1521137224537754,0.1521137224537754,0.11280786581967428,0.11004866694980746,0.1521137224537754,0.11282279427337485,0.1521137224537754,0.11001430560661218,0,0
0,0.20527527287356936,0.15104737116565667,0.15114830067712645,0.15128098115289096,0.14162432828339153,0.11255376192775071,0.1521137224537754,0.1521137224537754,0.11280786581967428,0.11004866694980746,0.1521137224537754,0.11282279427337485,0.1521137224537754,0.11001430560661218,1,0
0,0.20527527287356936,0.15104737116565667,0.15114830067712645,0.15128098115289096,0.14162432828339153,0.11255376192775071,0.1521137224537754,0.1521137224537754,0.11280786581967428,0.11004866694980746,0.1521137224537754,0.11282279427337485,0.1521137224537754,0.11001430560661218,2,0
0,0.20527527287356936,0.15104737116565667,0.15114830067712645,0.15128098115289096,0.14162432828339153,0.11255376192775071,0.1521137224537754,0.1521137224537754,0.11280786581967428,0.11004866694980746,0.1521137224537754,0.11282279427337485,0.1521137224537754,0.11001430560661218,3,0
0,0.20527527287356936,0.15104737116565667,0.15114830067712645,0.15128098115289096,0.14162432828339153,0.11255376192775071,0.1521137224537754,0.1521137224537754,0.11280786581967428,0.11004866694980746,0.1521137224537754,0.11282279427337485,0.1521137224537754,0.11001430560661218,4,0
0,0.20557290420608867,0.15128772425416645,0.15137823343302026,0.15150109369255285,0.1418390480180883,0.11318042987219834,0.1533325394989474,0.15286581938800434,0.1128051509045023,0.11100781735134493,0.1524172858575071,0.1127961063030925,0.15310819057962066,0.11048274593464537,0,0.001
0,0.20542476882150915,0.1510801031807052,0.15116726621059975,0.1512962746001398,0.1417741596480903,0.11279033235233552,0.15341486143884914,0.15298375366371775,0.11274678085319283,0.1117878586291351,0.15239097205766847,0.11291783852024366,0.1529361713642337,0.11089858168032721,1,0.001
0,0.2060329380413808,0.1511550453911641,0.15123898359905044,0.15137189664204945,0.1417827597650915,0.11279605788311403,0.15350621599760506,0.15255080118195571,0.11317288366013745,0.11149517600934228,0.1522254735389187,0.11306080831988406,0.15262435240738123,0.11036377358306124,2,0.001
0,0.20548500419974808,0.15116597972534507,0.15125581977625244,0.15139017994592135,0.14171484075888804,0.11275975041931927,0.15307301890829164,0.15226007444414075,0.11315587025124374,0.11103466273002821,0.15214954399435396,0.11261148775926846,0.15242824786100606,0.11034358951363614,3,0.001
0,0.20549619625309534,0.15124506804121315,0.1513377092201814,0.15145948006505827,0.1418882859326384,0.1127351742100977,0.1530261829409454,0.15275527793061103,0.11305215090148456,0.11082053571916603,0.15217740025943222,0.1127060094193627,0.15271057089944054,0.11016899351084365,4,0.001
