,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-NN-5,iteration,percentage
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,0,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,1,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,2,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,3,0
0,0.03508491760887312,0.025849235257374918,0.025957357829284777,0.025883680404820125,0.02600760314831136,0.026030099336441043,,0.03148455929100303,,,0.026200570222496323,0.030739750559615777,4,0
0,0.03734965460186433,0.0283472700666516,0.02835004774673069,0.02835818132714566,0.028765290154965616,0.028412923981300423,,0.0337346669529478,,,0.026667764413910597,0.03929234407042839,0,0.001
0,0.03615425194116605,0.027102996743345674,0.027125378417265433,0.02711774875649739,0.027352179488306507,0.02702470096757229,,0.0331546861014833,,,0.02655933105471343,0.049676625332820905,1,0.001
0,0.04783576873251854,0.0388227245351834,0.03867651314817194,0.038780652498541776,0.040421531284399084,0.036187830054172594,,0.03409773318227787,,,0.02663200684901295,0.047527950411499126,2,0.001
0,0.037771699094698775,0.028633050178644877,0.028645515896357172,0.02863951190497275,0.029180996946694692,0.028604817565415615,,0.03352842478264116,,,0.02670515486252903,0.04092434874389713,3,0.001
0,0.03886592603768099,0.029584092713218994,0.029589025484690758,0.029579374920298065,0.03037926667171201,0.029655742939700965,,0.03413420492373334,,,0.026736490219426888,0.044834630922772865,4,0.001
0,0.04802823800307215,0.039585675045099245,0.039284005380714235,0.039512562537113875,0.04096189383918724,0.0376264084422375,,0.04226525123324146,,,0.028399458179398485,0.08771909194251296,0,0.005
0,0.04669960730294905,0.03802648017478892,0.03781188218571581,0.03796406870911902,0.039460040733753886,0.03685305794769341,,0.04188430900592843,,,0.029123463594633997,0.0939964872675548,1,0.005
0,0.0503919797061054,0.04128136089941345,0.04101069676067774,0.04120376281521071,0.04306987420686428,0.04003041082531117,,0.04229302367369056,,,0.028691813815954936,0.08572392313629036,2,0.005
0,0.04807306540246248,0.03904533196691977,0.03884162922938404,0.03898255293314818,0.04053635082580556,0.037964645077678036,,0.04025899153315515,,,0.028230809677648128,0.07704878456957881,3,0.005
0,0.060671196160683546,0.05068320195997028,0.05033488539191578,0.050574178265167316,0.05338102539279718,0.04866320084931557,,0.04214086308360902,,,0.028437098022285397,0.08337679457732013,4,0.005
