,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-NN-5,iteration,percentage
0,0.018521622718779395,0.013329612948592048,0.013322743151777897,0.013354853855113598,0.01240184097520973,0.013852972276692514,,0.018727124475358566,,,0.013528614183355906,0.01832557574790746,0,0
0,0.018521622718779395,0.013329612948592048,0.013322743151777897,0.013354853855113598,0.01240184097520973,0.013852972276692514,,0.018727124475358566,,,0.013528614183355906,0.01832557574790746,1,0
0,0.018521622718779395,0.013329612948592048,0.013322743151777897,0.013354853855113598,0.01240184097520973,0.013852972276692514,,0.018727124475358566,,,0.013528614183355906,0.01832557574790746,2,0
0,0.018521622718779395,0.013329612948592048,0.013322743151777897,0.013354853855113598,0.01240184097520973,0.013852972276692514,,0.018727124475358566,,,0.013528614183355906,0.01832557574790746,3,0
0,0.018521622718779395,0.013329612948592048,0.013322743151777897,0.013354853855113598,0.01240184097520973,0.013852972276692514,,0.018727124475358566,,,0.013528614183355906,0.01832557574790746,4,0
0,0.0191880408355179,0.014044730348364667,0.014004331047843242,0.014064532350862005,0.013135149178607707,0.01462335220328417,,0.019936544444324134,,,0.013955199261202917,0.020929203257522653,0,0.001
0,0.018890667480060994,0.013850994695888736,0.013808710729810377,0.013870832404196265,0.012876467320184546,0.014303860956827624,,0.019834997768591857,,,0.013862622333457556,0.02318312591035806,1,0.001
0,0.020502062959602094,0.015315281926842176,0.01526665333959494,0.015331202264499902,0.014524844729530226,0.015681816681646272,,0.020239768762791904,,,0.01393440025977462,0.02264582097428484,2,0.001
0,0.0191641961841268,0.013989735271833446,0.01395557336754169,0.014009945369826162,0.01309820370571804,0.01451095040029694,,0.020031402806234506,,,0.013908236437496517,0.021232306430858185,3,0.001
0,0.019377196777124343,0.014154706149981898,0.014127185808174734,0.014173386905714161,0.013317979821292776,0.014775834388214592,,0.02009967760960927,,,0.013878939168053767,0.02204876891332848,4,0.001
0,0.022013272081808328,0.017201992911411185,0.01703148416447259,0.01719582100058101,0.01638144282837426,0.017478399089407005,,0.02545887638569192,,,0.015324182524572322,0.03974087073662344,0,0.005
0,0.02194569759998757,0.01706393173582531,0.016917505592689012,0.017058087964313077,0.016275985903033946,0.017444970407331516,,0.025340496276994116,,,0.015625860226924373,0.04359134572753857,1,0.005
0,0.022303882562986637,0.01730021981532038,0.017141043121986138,0.01729393462557799,0.016531420558489416,0.017626635006862814,,0.025240028573630814,,,0.015275104058656723,0.03826618645495355,2,0.005
0,0.02163984691478652,0.0168052680789254,0.01663850603353164,0.016795455628815723,0.015969972935514054,0.01729357289511092,,0.024499706491156552,,,0.015263532541325474,0.03590334991121484,3,0.005
0,0.02346190595116221,0.018357420500874123,0.01817636317152759,0.01834451022420448,0.01768784293671273,0.01889223827201376,,0.025297777700404867,,,0.015450157774491349,0.03835634143686214,4,0.005
